Bezeichnung / Feldgeräte,Beschreibung
6AV2124-0MC01-0AX0,SIMATIC HMI TP1200 C
6AV2124-0UC02-0AX0,"HMI,TP1900 CMT"
6AV2124-0XC02-0AX0,"HMI,TP2200 CMT"
6AV2124-2DC01-0AX0,"HMI,KTP400 CMT"
6BK1700-0BA20-0AA0,LOGO!8 CMK2000
6EP1252-0AA01,BUS Spannungsversorgung 1.5A
6EP1332-4BA00,"S7-1500,PS 3A"
6EP1333-3BA10,SITOP 5A
6EP1333-4BA00,"S7-1500,PS 8A"
6EP1334-3BA10,SITOP 10A
6EP1336-3BA10,SITOP 20A
6EP1961-2BA11,SITOP SEL 0.5-3
6EP1961-2BA21,SITOP SEL 3-10
6EP3332-6SB00-0AY0,LOGO Power 24V / 2.5A
6EP3332-6SB00-0AY0,LOGO Power 24V / 2.5A
6EP3332-6SB00-0AY0,LOGO Power 24V / 2.5A
6ES7131-4BD01-0AA0,"SIMATIC DP, 5 ELEKTRONIKMODULE FUER ET 2"
6ES7131-4BF00-0AA0,"SIMATIC DP, 1 ELEKTRONIKMODUL FUER ET 20"
6ES7131-6BF01-0BA0,"ET200SP,8DI"
6ES7131-6BH01-0BA0,"ET200SP,16DI"
6ES7131-6TF00-0CA0,"ET200SP,8DI NAMUR"
6ES7132-4BD02-0AA0,"SIMATIC DP, 5 ELEKTRONIKMODULE FUER ET 2"
6ES7132-4BF00-0AA0,"SIMATIC DP, 1 ELEKTRONIKMODUL FUER ET 20"
6ES7132-4HB12-0AB0,"ET200S,2DO-R,W"
6ES7132-6BF01-0BA0,"ET200SP,8DO"
6ES7132-6BH01-0BA0,"ET200SP,16DO"
6ES7132-6GD51-0BA0,"ET200SP,4DO-R,W"
6ES7132-6HD01-0BB1,"ET200SP,4DO-R,S"
6ES7134-4FB01-0AB0,"ET200S,2AI,U"
6ES7134-4GB01-0AB0,"ET200S,2AI,I-2"
6ES7134-4GB11-0AB0,"ET200S,2AI,I-4"
6ES7134-4GD00-0AB0,"ET200S,4AI,I-2"
6ES7134-4NB51-0AB0,"ET200S,2AI,RTD"
6ES7134-6FF00-0AA1,"ET200SP,8AI,U"
6ES7134-6GD00-0BA1,"ET200SP,4AI,I"
6ES7134-6GF00-0AA1,"ET200SP,8AI,I"
6ES7134-6HD00-0BA1,"ET200SP,4AI,UI"
6ES7134-6JD00-0CA1,"ET200SP,4AI,RTD"
6ES7134-6JF00-0CA1,"ET200SP,8AI,RTD"
6ES7134-6PA01-0BD0,"ET200SP,AI,Energy"
6ES7134-6TD00-0CA1,"ET200SP,4AI,I-Ht"
6ES7135-4GB01-0AB0,"ET200S,2AO,I"
6ES7135-6HD00-0BA1,"ET200SP,4AO,UI"
6ES7137-6AA00-0BA0,"ET200SP,CM,PTP"
6ES7138-4CA01-0AA0,"ET200S,PM"
6ES7138-4DA04-0AB0,"ET200S,Count"
6ES7138-6AA00-0BA0,"ET200SP,Count"
6ES7151-1AA06-0AB0,"ET200S,IM-PB"
6ES7151-8AB01-0AB0,"SIMATIC DP, IM151-8 PN/DP CPU FUER ET200"
6ES7153-1AA03-0XB0,SIMATIC DP ET200M
6ES7153-4AA01-0XB0,"ET200M,IM-PN"
6ES7155-5BA00-0AB0,"ET200MP,IM-PB"
6ES7155-6AA01-0BN0,"ET200SP,IM-PN"
6ES7155-6AU00-0CN0,"ET200SP,IM155-6 HF für Redundanz"
6ES7155-6BA00-0CN0,"ET200SP,IM-PB"
6ES7158-0AD01-0XA0,PB DP/DP-Koppler
6ES7193-4CA40-0AA0,"ET200S,TM,EM"
6ES7193-4CD20-0AA0,"ET200S,TM,PM"
6ES7193-6AR00-0AA0,"ET200SP,PN-Adapter zu IM155-6 HF"
6ES7193-6BP00-0BA0,ET200SP BU15-P16+A0+2B
6ES7193-6BP00-0BD0,"ET200SP,BU,Energy"
6ES7193-6BP00-0DA0,"ET200SP,BU15-P16+A0+2D"
6ES7193-6BP20-0BA0,ET 200SP BU15-P16+A10+2B
6ES7193-6BP20-0DA0,"ET200SP,BU15-P16+A10+2D"
6ES7193-6BP40-0BA1,ET 200SP BU15-P16+A0+12B/T
6ES7193-6BP40-0DA1,"ET200SP,BU15-P16+A0+12D/T"
6ES7195-7HB00-0XA0,"ET200M,Busmodul f. 2 Baugruppen"
6ES7197-1LA12-0XA0,"ET200M,Y-Link-Bundle"
6ES7307-1BA01-0AA0,SIMATIC S7-300 Laststromversorg. PS307
6ES7307-1EA01-0AA0,SIMATIC S7-300 Laststromvers. PS307 5A
6ES7307-1KA02-0AA0,"S7-300,PS 10A"
6ES7314-1AG14-0AB0,"S7-300,CPU314"
6ES7315-2EH14-0AB0,"S7-300,CPU315-PN"
6ES7317-2AK14-0AB0,"S7-300,CPU317-DP"
6ES7317-2EK14-0AB0,"S7-300,CPU317-PN"
6ES7321-1BH02-0AA0,SIMATIC S7-300 Digitaleingabe SM321 16DE
6ES7321-1BL00-0AA0,SIMATIC S7-300 Digitaleingabe SM321 32DE
6ES7322-1BH01-0AA0,"S7-300,16DO"
6ES7322-1BL00-0AA0,SIMATIC S7-300 Digitalausgabe SM322 32DA
6ES7331-1KF02-0AB0,"S7-300,8AI"
6ES7332-5HD01-0AB0,SIMATIC S7-300 Analogausgabe SM332 4AA
6ES73325HF000AB0,SIMATIC S7 Analogausgabe SM332 8AA
6ES7340-1AH02-0AE0,"S7-300,CP340"
6ES7341-1AH02-0AE0,"S7-300,CP341"
